Donnée,Année,Top 5
Life Ladder,2005,"['Denmark', 'Netherlands', 'Canada', 'Sweden', 'Australia']"
Life Ladder,2006,"['Finland', 'Switzerland', 'Norway', 'New Zealand', 'United States']"
Life Ladder,2007,"['Denmark', 'New Zealand', 'United States', 'Canada', 'Netherlands']"
Life Ladder,2008,"['Denmark', 'Finland', 'Norway', 'Netherlands', 'Ireland']"
Life Ladder,2009,"['Denmark', 'Costa Rica', 'Switzerland', 'Canada', 'Israel']"
Life Ladder,2010,"['Denmark', 'Canada', 'Netherlands', 'Sweden', 'Venezuela']"
Life Ladder,2011,"['Denmark', 'Netherlands', 'Austria', 'Israel', 'Canada']"
Life Ladder,2012,"['Switzerland', 'Norway', 'Iceland', 'Sweden', 'Denmark']"
Life Ladder,2013,"['Canada', 'Denmark', 'Iceland', 'Austria', 'Finland']"
Life Ladder,2014,"['Denmark', 'Switzerland', 'Norway', 'Israel', 'Finland']"
Life Ladder,2015,"['Norway', 'Switzerland', 'Denmark', 'Iceland', 'Finland']"
Life Ladder,2016,"['Finland', 'Norway', 'Denmark', 'Netherlands', 'Iceland']"
Life Ladder,2017,"['Finland', 'Denmark', 'Norway', 'Iceland', 'Switzerland']"
Life Ladder,2018,"['Finland', 'Denmark', 'Switzerland', 'Netherlands', 'Norway']"
Life Ladder,2019,"['Finland', 'Switzerland', 'Denmark', 'Iceland', 'Norway']"
Life Ladder,2020,"['Finland', 'Iceland', 'Denmark', 'Switzerland', 'Netherlands']"
Life Ladder,2021,"['Finland', 'Denmark', 'Israel', 'Iceland', 'Sweden']"
Life Ladder,2022,"['Finland', 'Israel', 'Denmark', 'Iceland', 'Sweden']"
Log GDP per capita,2005,"['Denmark', 'Netherlands', 'Belgium', 'Sweden', 'Canada']"
Log GDP per capita,2006,"['United Arab Emirates', 'Kuwait', 'Singapore', 'Switzerland', 'Norway']"
Log GDP per capita,2007,"['Singapore', 'United States', 'Denmark', 'Netherlands', 'Belgium']"
Log GDP per capita,2008,"['Singapore', 'Norway', 'Ireland', 'United States', 'Netherlands']"
Log GDP per capita,2009,"['Luxembourg', 'Qatar', 'Singapore', 'Switzerland', 'Kuwait']"
Log GDP per capita,2010,"['Luxembourg', 'Qatar', 'Singapore', 'Kuwait', 'United Arab Emirates']"
Log GDP per capita,2011,"['Luxembourg', 'Qatar', 'Singapore', 'Kuwait', 'United Arab Emirates']"
Log GDP per capita,2012,"['Luxembourg', 'Qatar', 'Switzerland', 'Norway', 'Kuwait']"
Log GDP per capita,2013,"['Luxembourg', 'Singapore', 'United Arab Emirates', 'Kuwait', 'United States']"
Log GDP per capita,2014,"['Luxembourg', 'Singapore', 'Switzerland', 'United Arab Emirates', 'Norway']"
Log GDP per capita,2015,"['Luxembourg', 'Qatar', 'Singapore', 'Ireland', 'Switzerland']"
Log GDP per capita,2016,"['Luxembourg', 'Singapore', 'Ireland', 'United Arab Emirates', 'Switzerland']"
Log GDP per capita,2017,"['Luxembourg', 'Singapore', 'Ireland', 'United Arab Emirates', 'Switzerland']"
Log GDP per capita,2018,"['Luxembourg', 'Singapore', 'Ireland', 'United Arab Emirates', 'Switzerland']"
Log GDP per capita,2019,"['Luxembourg', 'Singapore', 'Ireland', 'United Arab Emirates', 'Switzerland']"
Log GDP per capita,2020,"['Ireland', 'Switzerland', 'United Arab Emirates', 'Norway', 'United States']"
Log GDP per capita,2021,"['Singapore', 'Ireland', 'Switzerland', 'United Arab Emirates', 'Norway']"
Log GDP per capita,2022,"['Luxembourg', 'Ireland', 'United Arab Emirates', 'Switzerland', 'Norway']"
Social support,2005,"['United Kingdom', 'Denmark', 'Australia', 'Germany', 'Canada']"
Social support,2006,"['Cuba', 'Ireland', 'United States', 'Finland', 'Norway']"
Social support,2007,"['United Kingdom', 'New Zealand', 'Australia', 'Spain', 'Denmark']"
Social support,2008,"['Ireland', 'Iceland', 'Denmark', 'United Kingdom', 'United States']"
Social support,2009,"['United Kingdom', 'Ireland', 'Venezuela', 'Canada', 'Denmark']"
Social support,2010,"['New Zealand', 'Denmark', 'Ireland', 'Sweden', 'Netherlands']"
Social support,2011,"['Ireland', 'Australia', 'Turkmenistan', 'Denmark', 'New Zealand']"
Social support,2012,"['Iceland', 'Ireland', 'Denmark', 'Canada', 'Norway']"
Social support,2013,"['Iceland', 'Denmark', 'Uzbekistan', 'New Zealand', 'Ireland']"
Social support,2014,"['Ireland', 'Paraguay', 'Switzerland', 'Denmark', 'Uzbekistan']"
